entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,PMID,relation,entity_side,entity_name_norm,expert_resolution
partial exon skipping,biological_process,False,exon-exon junction complex disassembly,C3894099,False,True,Alternative Splicing,C0002345,ok,10.1093/qjmed/hcaf246,bioprocess_protein,2,partial exon skipping,not_accepted
normalized neurodegenerative phenotype,phenotype,False,inherited neurodegenerative disorder,,False,True,Neuroprotection,C0598958,not found,10.1016/j.omtm.2022.03.011,drug_effect,2,normalized neurodegenerative phenotype,not_accepted
increased lyso-platelet activating factor,phenotype,False,Increased level of platelet-activating factor,C4073143,True,False,,,ok,10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,increased lyso-platelet activating factor,expert_cui
reduced inflammatory cytokines,phenotype,False,negative regulation of cytokine production involved in inflammatory response,C3269276,True,False,,,ok,10.3390/life11101007,drug_effect,2,reduced inflammatory cytokines,expert_cui
protein translation readthrough of stop codons,biological_process,False,regulation of translational termination,C1157545,True,False,,,Stop Codon Readthrough Transcript,10.1038/s41586-025-09732-2,drug_bioprocess,2,protein translation readthrough of stop codons,expert_cui
elevated levels of proinflammatory cytokines,phenotype,False,Abnormality of serum cytokine level,C4023535,True,False,,,Elevated proinflammatory cytokine levels,10.1007/s12031-025-02395-8,disease_phenotype_positive,2,elevated levels of proinflammatory cytokines,expert_cui
decreased phosphatidylcholine,cellular_component,False,negative regulation of phosphatidylcholine catabolic process,C2612207,True,False,,,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,decreased phosphatidylcholine,expert_cui
perifoveal whitening,phenotype,False,Abnormality of foveal pigmentation,C4072981,True,False,,,not found,10.1016/j.ajoc.2025.102381,phenotype_anatomy,2,perifoveal whitening,expert_cui
reduced lysosomal mass,phenotype,False,lysosomal matrix,C4235311,False,True,Abnormal lysosomal morphology,C4531183,not found,10.3390/pharmaceutics17050628,drug_effect,2,reduced lysosomal mass,not_accepted
hippocampus,anatomy,False,hippocampal field,C1134421,True,False,,,ok,10.3389/fmolb.2022.892248,anatomy_protein_present,1,hippocampus,expert_cui
metabolic disease,Disease,False,acquired metabolic disease,C0751744,True,False,,,Metabolic Diseases,10.3390/jpm13081222,disease_disease,2,metabolic disease,expert_cui
early death,phenotype,False,Prenatal death,C0015927,False,True,"Mortality, Premature",C1855073,ok,10.1016/j.ymgme.2024.108615|10.3390/jpm13081222,disease_phenotype_positive|phenotype_phenotype,2,early death,not_accepted
enhanced frequent +1 frameshifting,biological_process,False,translational frameshifting,C3821008,False,True,positive regulation of translational frameshifting,C3270822,ok,10.1016/j.isci.2024.109413,bioprocess_protein,2,enhanced frequent +1 frameshifting,not_accepted
lysosomal β-hexosaminidase activity,phenotype,False,Reduced beta-hexosaminidase A activity,C5970465,True,False,,,beta-N-acetylhexosaminidase activity,10.1016/j.ymgme.2022.106983,disease_phenotype_negative,2,lysosomal β-hexosaminidase activity,expert_cui
lower motor neuron disease,disease,False,motor neuron disease,C0085084,True,False,,,ok,10.1007/s10072-021-05757-3,disease_disease,2,lower motor neuron disease,expert_cui
halted motor decline,phenotype,False,Motor deterioration,C1866284,True,False,,,not found,10.1371/journal.pone.0315005,drug_effect,2,halted motor decline,expert_cui
increased β-hexosaminidase activity,phenotype,False,Reduced beta-hexosaminidase A activity,C5970465,True,False,,,not found,10.1172/JCI183434|10.3390/ijms231810672,drug_effect,2,increased β-hexosaminidase activity,expert_cui
enhance +1 ribosomal frameshifting,biological_process,False,positive regulation of translational frameshifting,C3270822,True,False,,,not found,10.1016/j.isci.2024.109413,bioprocess_protein,2,enhance +1 ribosomal frameshifting,expert_cui
restored enzyme deficiency,phenotype,False,d-bifunctional protein deficiency,C0342870,True,False,,,not found,10.4103/1673-5374.375328,drug_effect,2,restored enzyme deficiency,expert_cui
poor visual acuity,phenotype,False,Very low visual acuity,C5139142,True,False,,,ok,10.1016/j.ajoc.2025.102381,disease_phenotype_positive,2,poor visual acuity,expert_cui
enzyme activity reduction,molecular_function,False,enzyme inhibitor activity,C1152555,True,False,,,ok,10.1016/j.ymgme.2021.05.001,molfunc_protein,2,enzyme activity reduction,expert_cui
elevated phosphatidylcholine-ether,cellular_component,False,Elevated circulating lysophosphatidylcholine concentration,C5937189,True,False,,,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,elevated phosphatidylcholine-ether,expert_cui
psychiatric symptoms,phenotype,False,mental disorder,C0004936,False,True,Psychiatric symptom,C0233401,not found,10.5334/tohm.726,disease_phenotype_positive,2,psychiatric symptoms,not_accepted
increased lysosomal permeability,phenotype,False,regulation of lysosomal membrane permeability,C3269164,False,True,positive regulation of lysosomal membrane permeability,C3269165,Psychiatric symptom,10.3390/cells10113122,disease_phenotype_positive,2,increased lysosomal permeability,not_accepted
neuronal swelling,phenotype,False,Diffuse axonal swelling,C1865417,False,True,Neuronal swelling,C3670503,permeability; increased,10.1111/ene.16069,phenotype_phenotype,2,neuronal swelling,not_accepted
attenuated glial activation,phenotype,False,glial cell activation,C4690080,True,False,,,inhibition of microglial cell activation,10.1515/nipt-2023-0027,drug_effect,2,attenuated glial activation,expert_cui
activated glial suppression,phenotype,False,glial cell activation,C4690080,True,False,,,not found,10.3390/cells12242791,drug_effect,2,activated glial suppression,expert_cui
inflammation suppression,phenotype,False,Decreased inflammatory response,C4022804,False,True,Inhibition of inflammatory response,C2255887,not found,10.3390/cells12242791,drug_effect,2,inflammation suppression,not_accepted
frequent +1 frameshifting,biological_process,False,translational frameshifting,C3821008,False,True,"Frameshifting, Ribosomal",C0282572,ok,10.1016/j.isci.2024.109413,bioprocess_protein,2,frequent +1 frameshifting,not_accepted
speech difficulties,phenotype,False,Speech articulation difficulties,C1865313,True,False,,,Speech impairment,10.1186/s13023-025-04030-6,disease_phenotype_positive,2,speech difficulties,expert_cui
foamy neuron,phenotype,False,CNS foam cells,C5558248,False,True,Vacuolated neurons,C3806241,ok,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,foamy neuron,not_accepted
ameliorated late-stage disease severity,phenotype,False,Progressive neurologic deterioration,C1854838,True,False,,,not found,10.1371/journal.pone.0315005,drug_effect,2,ameliorated late-stage disease severity,expert_cui
chronic neuroinflammation,phenotype,False,neuroinflammatory response,C5137640,True,False,,,not found,10.1007/s11011-025-01553-6,disease_phenotype_positive,2,chronic neuroinflammation,expert_cui
fall,phenotype,False,Frequent falls,C0850703,True,False,,,Falls,10.1016/j.gim.2025.101615,drug_effect,2,fall,expert_cui
postsynaptic receptors upregulation,phenotype,False,postsynaptic neurotransmitter receptor activity,C4328888,False,True,regulation of postsynaptic neurotransmitter receptor activity,C4328886,ok,10.1016/j.nbd.2025.107099,phenotype_phenotype,2,postsynaptic receptors upregulation,not_accepted
hearing loss,phenotype,False,hearing loss disorder,C0018784,False,True,Hearing Loss,C3887873,ok,10.1093/qjmed/hcaf246,phenotype_protein,2,hearing loss,not_accepted
improved neurological status,phenotype,False,Rapid neurologic deterioration,C4024908,True,False,,,Neurological status is maintained at or improved from baseline levels,10.3390/life11101007,drug_effect,2,improved neurological status,expert_cui
neuropsychiatric symptom,phenotype,False,cognitive disorder,C0009241,False,True,Neuropsychiatric abnormalities,C4539681,ok,10.1212/NXG.0000000000200205,disease_phenotype_positive,2,neuropsychiatric symptom,not_accepted
enlarged neuron,phenotype,False,Abnormal neuron morphology,C4022739,True,False,,,ok,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,enlarged neuron,expert_cui
β-hexosaminidase mutation,protein/gene,False,Reduced beta-hexosaminidase A activity,C5970465,True,False,,,not found,10.1016/j.ibneur.2022.01.004,phenotype_protein,1,β-hexosaminidase mutation,expert_cui
cerebellar symptoms,phenotype,False,cerebellar disease,C0007760,True,False,,,ok,10.5334/tohm.726,disease_phenotype_positive,2,cerebellar symptoms,expert_cui
rapid central nervous system deterioration,phenotype,False,Rapid neurologic deterioration,C4024908,True,False,,,ok,10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,rapid central nervous system deterioration,expert_cui
rare genetic disease,disease,False,genetic skin disease,C0037277,False,True,Rare genetic disease,C5681510,not found,10.1186/s13023-024-03300-z,disease_disease,1,rare genetic disease,not_accepted
inhibited neuroinflammation,phenotype,False,neuroinflammatory response,C5137640,False,True,negative regulation of neuroinflammatory response,C5137643,not found,10.1007/s11011-025-01553-6,drug_effect,2,inhibited neuroinflammation,not_accepted
rescued lysosomal accumulation,phenotype,False,lysosomal transport,C1156063,False,True,Increased Lysosomal Function,C1372391,ok,10.3390/jpm15050196,drug_effect,2,rescued lysosomal accumulation,not_accepted
lyso-platelet activating factors accumulation,phenotype,False,platelet activating factor catabolic process,C5380074,True,False,,,not found,10.1016/j.ymgme.2025.109180,disease_phenotype_positive,2,lyso-platelet activating factors accumulation,expert_cui
prime editing,drug,False,viral RNA editing,C3821012,True,False,,,not found,10.1038/s41586-025-09732-2,drug_bioprocess|drug_effect,1,prime editing,expert_cui
increased cell death,phenotype,False,cell death,C0007587,False,True,Positive Regulation of Cell Death,C1516338,not found,10.1016/j.nbd.2025.107099,phenotype_anatomy|phenotype_phenotype,2,increased cell death,not_accepted
improved survival,phenotype,False,NF-kB is activated and signals survival,,True,False,,,not found,10.3390/cells12242791,drug_effect,2,improved survival,expert_accept_unresolved
sphingolipid hydrolases mutation,protein/gene,False,disorder of sphingolipid biosynthesis,C5680990,True,False,,,Sphingolipidoses,10.1007/s12031-021-01907-6,disease_protein,2,sphingolipid hydrolases mutation,expert_cui
accelerated mature cathepsins release,phenotype,False,Increased circulating cathepsin D level,C5421667,False,True,,,ok,10.3390/cells10113122,disease_phenotype_positive,2,accelerated mature cathepsins release,not_accepted
neurocognitive function,phenotype,False,functional part of brain,C5410883,True,False,,,Neurocognitive,63_40817303 (article 63),drug_effect,2,neurocognitive function,expert_cui
lysosomal undegraded metabolites accumulation,phenotype,False,Abnormality of lysosomal metabolism,C4025342,False,True,Lysosomal Storage Diseases,C0085078,not found,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,lysosomal undegraded metabolites accumulation,not_accepted
mobility impairment,phenotype,False,Abnormality of joint mobility,C4023216,True,False,,,Mobility impairment observed,10.1186/s13023-025-04030-6,disease_phenotype_positive,2,mobility impairment,expert_cui
rescued disease pathology,phenotype,False,DNA repair disease,,True,False,,,uncertain,10.1038/s41586-025-09732-2,drug_effect,2,rescued disease pathology,expert_accept_unresolved
decreased phosphatidylserine,cellular_component,False,phosphatidylserine catabolic process,C1157952,False,True,phosphatidylserine catabolic process,C1157952,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,decreased phosphatidylserine,not_accepted
amyloid-beta accumulation,phenotype,False,amyloid-beta formation,C2247791,True,False,,,Amyloid deposition,10.1016/j.ibneur.2022.01.004,disease_phenotype_positive|phenotype_protein,2,amyloid-beta accumulation,expert_cui
seizures,phenotype,False,Motor seizure,C5702914,True,False,,,Seizures,10.1016/j.nbd.2025.107099|10.7759/cureus.51797,disease_phenotype_positive,2,seizures,expert_cui
reduced neuroinflammation,phenotype,False,neuroinflammatory response,C5137640,True,False,,,not found,10.1007/s11011-025-01553-6,drug_effect,2,reduced neuroinflammation,expert_cui
enzyme activity restoration,phenotype,False,enzyme activator activity,C1152522,True,False,,,not found,10.1038/s41586-025-09732-2,drug_effect,2,enzyme activity restoration,expert_cui
recovered oxidative stress,phenotype,False,response to oxidative stress,C1155312,True,False,,,ok,10.3390/ijms231810672,drug_effect,2,recovered oxidative stress,expert_cui
slowly progressive cerebellar ataxia,phenotype,False,Progressive cerebellar ataxia,C0393525,True,False,,,ok,10.1007/s10072-021-05757-3,disease_phenotype_positive,2,slowly progressive cerebellar ataxia,expert_cui
neuromuscular weakness,phenotype,False,Generalized muscle weakness,C0746674,True,False,,,Neuromuscular weakness,10.1111/ene.16069,disease_phenotype_positive,2,neuromuscular weakness,expert_cui
glycosphingolipid synthesis,biological process,False,glycosphingolipid biosynthetic process,C1157366,True,False,,,ok,10.1111/ene.15871,drug_bioprocess,2,glycosphingolipid synthesis,expert_cui
gangliosidoses,disease,False,gangliosidosis,C0017083,True,False,,,Gangliosidoses,10.1016/j.gim.2022.09.001,disease_phenotype_positive,1,gangliosidoses,expert_cui
lifespan extension,phenotype,False,determination of adult lifespan,C2755803,False,True,Life Span,C0870809,not found,10.1016/j.omtm.2022.03.011,drug_effect,2,lifespan extension,not_accepted
improved behavior,phenotype,False,behavior,C0004927,True,False,,,not found,10.3390/cells12242791,drug_effect,2,improved behavior,expert_cui
glioblastoma multiforme,disease,False,glioblastoma (disease),,True,False,,,ok,10.3389/fonc.2021.685893,disease_protein,1,glioblastoma multiforme,expert_accept_unresolved
macular brown spot,phenotype,False,Abnormality of macular pigmentation,C4024756,True,False,,,ok,10.1016/j.ajoc.2025.102381,disease_phenotype_positive|phenotype_anatomy|phenotype_phenotype,1|2,macular brown spot,expert_cui
propagermanium + ketogenic diet,drug,False,Ameliorated by ketogenic diet,C5826444,True,False,,,50% ok?,10.1007/s11011-025-01553-6,drug_effect,1,propagermanium + ketogenic diet,expert_cui
autophagy inducer,molecular_function,False,Selective autophagy,C5907175,True,False,,,not found,10.1016/j.ymgme.2024.108140,drug_bioprocess,2,autophagy inducer,expert_cui
cherry-red spot,phenotype,False,Cherry red spot of the macula,C2216370,True,False,,,ok,10.1016/j.ajoc.2025.102381|10.5546/aap.2022.eng.e25|10.7759/cureus.92445,disease_phenotype_positive|phenotype_phenotype,2,cherry-red spot,expert_cui
impaired autophagic flux,biological process | phenotype,False,Suppression of autophagy,C5137600,True,False,,,negative regulation of autophagy,10.1016/j.ymgme.2024.108140|10.1371/journal.pone.0280650|10.3390/cells10113122,disease_bioprocess|disease_phenotype_positive|drug_bioprocess,2,impaired autophagic flux,expert_cui
spinal motor neuron degeneration,phenotype,False,motor neuron disease,C0085084,True,False,,,ok,64_40819571(article 64),disease_phenotype_positive,2,spinal motor neuron degeneration,expert_cui
neuronal degeneration,phenotype,False,Cerebral degeneration,C0154671,True,False,,,ok,10.1111/ene.16069,phenotype_phenotype,2,neuronal degeneration,expert_cui
progressive neurodegeneration,phenotype,False,Cerebral degeneration,C0154671,True,False,,,ok,10.1186/s13023-025-04030-6,disease_phenotype_positive,2,progressive neurodegeneration,expert_cui
elevated lysophosphatidylcholine,cellular_component,False,Elevated circulating lysophosphatidylcholine concentration,C5937189,True,False,,,ok,10.3389/fmolb.2022.892248,cellcomp_protein,2,elevated lysophosphatidylcholine,expert_cui
enzyme β-hexosaminidase deficiency,phenotype,False,Increased serum beta-hexosaminidase,C2673361,False,True,Beta hexosaminidase deficiency,C5442502,Beta hexosaminidase deficiency,10.3390/ijms22136751,disease_phenotype_positive,2,enzyme β-hexosaminidase deficiency,not_accepted
iminosugar compounds,drug,False,Aminophosphonic acid-guanylate ester,,True,False,,,Aza Compounds,10.1080/14756366.2022.2073444,drug_effect,1,iminosugar compounds,expert_accept_unresolved
extended lifspan,phenotype,False,extension,C0231448,False,True,Life Span,C0870809,Neuronal vacuolation,10.1172/JCI183434,drug_effect,2,extended lifspan,not_accepted
neuronal vacuolization,phenotype,False,Muscle vacuoles,C5970321,False,True,Neuronal vacuolation,C3670501,,10.1016/j.ymgme.2021.05.001,disease_phenotype_positive,2,neuronal vacuolization,not_accepted
